0000000 1752 9882 9871 84f4 eccd 9fbc 33b5 9c27
0000010 70e1 a994 8b30 a542 f88b bf54 5eef 6ca9
0000020 d871 2176 b536 6472 1dcb a0fd cc7f ffb5
0000030 f2f4 c4a0 1a78 7f64 1c01 e2fb 5761 3156
0000040 f3d1 b03a eeb7 9827 fcef a7c0 ce24 2d60
0000050 fa44 f2ff 2dab 21e2 cc96 96e1 fcbb ff76
0000060 674b 9d96 f7dd 25d7 cfac 2153 a63e b634
0000070 d8b2 2437 5b4f 52bf dbf5 97d8 905e 1e9b
0000080 6364 c41d 2f0b 57bf 8bc8 bd6c 40bf a841
0000090 dd3e 5438 bf45 b1f4 da3a 189f d0e6 ba6b
00000a0 d9b9 ca88 0be4 4a93 d2c5 c049 e9a1 3889
00000b0 43e6 2b47 d456 4889 71c2 8552 c0a6 20c2
00000c0 d552 432f 960f 141a 9d6a 33ac ba75 096d
00000d0 da1d 05fd 09e5 033d 6449 98c3 25fc 771c
00000e0 fee5 72e5 5ce8 cb91 3e6e cf0a c205 65e4
00000f0 ebcc 4794 19ed 6642 bd79 ef2b 9624 f3dc
0000100 7412 0d9d 788f b1e3 ee07 5fa7 061a a27f
0000110 1803 82f3 0d1f 4b27 6451 cd4d cd55 b8d8
0000120 84da d1b7 8ce8 81e1 2c9e f103 0bf0 39f6
0000130 d23c cedd 0358 c4eb 0e0f 85fe a18f edf3
0000140 9d66 03f4 dba8 65f4 4843 39d2 b5e2 bab4
0000150 2d1a 530f 7c86 c68a 11af fa30 65f7 5568
0000160 aa9a 24d3 5115 a372 0ea7 0bce 9d34 0724
0000170 472b 241a 1b77 b319 2487 d8f4 d9dd d65b
0000180 14c9 1f94 edc4 6a5c 763d 19a1 573c f5c4
0000190 122f 23e6 5291 2a61 f2a9 88ee d617 ff8c
00001a0 d45b e4c0 7937 1348 b6b7 dbb8 0d31 0283
00001b0 ba08 9f7c 0fce 6643 6424 5405 bd4d 3b97
00001c0 9e2d e93b 42e2 68ca 2815 07f3 c2c1 ea07
00001d0 db14 11d8 f070 9ed2 3aa4 6be1 e2c3 dbf0
00001e0 8e07 e297 65c2 e6a8 3b43 787d 2231 156a
