0000000 68ce 83c7 8fe9 754b 3f2c 8c7f 2997 4271
0000010 781c ad8c 8489 159a b5af 890d 2e25 bc6f
0000020 aa99 4c5f 2017 b94a dcd2 6922 db5e 7473
0000030 5ba5 ff46 79c3 b045 be93 5a49 6191 0da5
0000040 cbb9 b8ee 30c0 1c6b b4a8 753e 3d42 d896
0000050 a4be 943e b042 776a 990c 065c df40 93b6
0000060 6af9 8772 3a37 adf5 4851 9734 6804 e6dd
0000070 3a46 929b 1449 71e6 d68b 1bd8 18bf 1a83
0000080 6f65 d4df 9ff3 3d4b d4e1 310c ec6d 02fd
0000090 7535 4134 a404 fdf0 0b27 54a4 adb5 41c6
00000a0 a76d 0fb9 4a6d c047 8323 0446 0d33 0a90
00000b0 daae bb4e 008e a320 0c25 6053 53c0 34fa
00000c0 9ec9 429a a7f7 9ab4 101c 76db 173a 03bb
00000d0 70fd 55cd bfd6 3b7f 8f4e 23f8 32b1 7a8b
00000e0 d6d1 09bd 9d46 3611 b50b 0b3b 12db 6897
00000f0 053c 2353 5d5e e90b b831 4ec0 b73b 20f3
0000100 d744 94b5 c1df f6ff 4cba ddfa 8646 6b4e
0000110 b38f 4a51 50f3 6db8 58b6 d3d9 fb01 8049
0000120 a512 925a 002e 16eb bdb5 94ec 67d5 8323
0000130 75f7 d209 11d0 7d3a 1f1e ba09 32a4 5cf3
0000140 a3c1 4d08 1bc1 41f1 e7ef 304f c6f4 b471
0000150 c9df 46e9 db7c f34c ea4b f1e6 6baa d673
0000160 7c3f 02f7 54a6 8cfa 761d c116 6a96 29fe
0000170 4a01 ddb3 334c 0864 74a8 218b c44e c547
0000180 dfe2 f4d5 7b92 c984 5489 fedd 08e3 5a22
0000190 ccab 195a 8cf1 7c1d 6627 c7a8 9463 bae8
00001a0 f647 5182 90a5 861a e43d 18e3 647e 63b6
00001b0 7d98 1d9a 0ee9 1bff 86d7 bc21 c659 b4dd
00001c0 2586 e50f bd40 0bbc b9ab 0d15 0e4f 9790
00001d0 0ac9 a914 22f1 21df 251b 8552 529c ba20
00001e0 39da 50ee c3c5 f82b 3e92 9d22 00c3 7d14
00001f0 189e 42bf 4b85 27a5 3a30 451c 875b 393e
0000200 b339 fb05 ef68 3c42 eddf 5b84 a947 38cd
0000210 e496 2362 62a3 9dca f32d 3ff1 4081 0573
0000220 8146 a7ca 0b52 14a6 ec1d 2b7a 34bd b4c7
0000230 fd82 6532 d3eb 42a7 b6bb 5b5a 09fa 97a9
0000240 95f4 5ba8 671f 56f3 4fe5 0cae 5a06 d343
